Iter: 1 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 2 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 3 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 4 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 5 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 6 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 7 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 8 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 9 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 10 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 11 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 12 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 13 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 14 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 15 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 16 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 17 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 18 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 19 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 20 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 21 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 22 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 23 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 24 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 25 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 26 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 27 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 28 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 29 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 30 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 31 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 32 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 33 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 34 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 35 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 36 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 37 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 38 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 39 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 40 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 41 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 42 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 43 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 44 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 45 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 46 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 47 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 48 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
Iter: 49 | conflict: 28 | TeacherConflict: 27 | RoomConflict: 1 | ToolConflict: 0 | ClassConflict: 0
